Time, Angry, Disgust, Scared, Happy, Sad, Surprised, Neutral
00:00:22, 22.77%, 0.01%, 17.35%, 20.64%, 9.22%, 4.53%, 25.48%
00:00:22, 11.81%, 0.01%, 22.23%, 29.59%, 15.57%, 5.45%, 15.35%
00:00:23, 11.34%, 0.01%, 15.17%, 33.79%, 9.60%, 4.78%, 25.31%
00:00:24, 15.69%, 0.02%, 20.17%, 19.75%, 9.91%, 4.50%, 29.95%
00:00:24, 10.82%, 0.02%, 19.97%, 28.32%, 9.37%, 6.61%, 24.88%
00:00:25, 18.26%, 0.02%, 16.84%, 16.04%, 8.75%, 5.53%, 34.57%
00:00:26, 5.92%, 0.01%, 24.74%, 23.43%, 14.72%, 5.82%, 25.36%
00:00:26, 3.71%, 0.07%, 22.66%, 31.81%, 16.11%, 4.07%, 21.57%
00:00:27, 3.07%, 0.06%, 22.22%, 29.76%, 13.63%, 2.87%, 28.40%
00:00:27, 3.73%, 0.05%, 21.44%, 28.90%, 20.79%, 2.41%, 22.69%
00:00:28, 5.29%, 0.05%, 22.61%, 22.84%, 22.10%, 2.37%, 24.73%
00:00:29, 3.83%, 0.02%, 11.19%, 50.89%, 16.12%, 2.81%, 15.14%
